d,p,
"2011-09-07,三",899.61,
"2011-09-08,四",891.93,
"2011-09-09,五",881.58,
"2011-09-13,二",861.92,
"2011-09-14,三",876.95,
"2011-09-15,四",875.86,
"2011-09-16,五",874.88,
"2011-09-19,一",854.71,
"2011-09-20,二",856.81,
"2011-09-21,三",881.03,
"2011-09-22,四",852.92,
"2011-09-23,五",843.48,
"2011-09-26,一",829.35,
"2011-09-27,二",830.88,
"2011-09-28,三",817.52,
"2011-09-29,四",791.89,
"2011-09-30,五",791.13,
"2011-10-10,一",790.04,
"2011-10-11,二",786.15,
"2011-10-12,三",816.14,
"2011-10-13,四",833.02,
"2011-10-14,五",830.2,
"2011-10-17,一",832.29,
"2011-10-18,二",806.6,
"2011-10-19,三",804.44,
"2011-10-20,四",778.95,
"2011-10-21,五",763.3,
"2011-10-24,一",772.41,
"2011-10-25,二",797.86,
"2011-10-26,三",811.13,
"2011-10-27,四",810.92,
"2011-10-28,五",833.42,
"2011-10-31,一",852.8,
"2011-11-01,二",853.36,
"2011-11-02,三",881.05,
"2011-11-03,四",877.66,
"2011-11-04,五",882.25,
"2011-11-07,一",878.76,
"2011-11-08,二",862.36,
"2011-11-09,三",891.12,
"2011-11-10,四",895.27,
"2011-11-11,五",891.19,
"2011-11-14,一",915.98,
"2011-11-15,二",920.97,
"2011-11-16,三",893.51,
"2011-11-17,四",898.34,
"2011-11-18,五",869.19,
"2011-11-21,一",863.13,
"2011-11-22,二",868.43,
"2011-11-23,三",864.81,
"2011-11-24,四",868.14,
"2011-11-25,五",863.5,
"2011-11-28,一",866.84,
"2011-11-29,二",880.31,
"2011-11-30,三",838.11,
"2011-12-01,四",852.87,
"2011-12-02,五",829.18,
"2011-12-05,一",792.5,
"2011-12-06,二",798.1,
"2011-12-07,三",802.63,
"2011-12-08,四",809.43,
"2011-12-09,五",798.84,
"2011-12-12,一",790.79,
"2011-12-13,二",768.92,
"2011-12-14,三",755.76,
"2011-12-15,四",746.56,
"2011-12-16,五",778.78,
"2011-12-19,一",793.44,
"2011-12-20,二",781.42,
"2011-12-21,三",761.34,
"2011-12-22,四",757.9,
"2011-12-23,五",761.44,
"2011-12-26,一",753.05,
"2011-12-27,二",727.17,
"2011-12-28,三",717.55,
"2011-12-29,四",716.55,
"2011-12-30,五",729.5,
"2012-01-04,三",707.11,
"2012-01-05,四",666.91,
"2012-01-06,五",669.02,
"2012-01-09,一",692.42,
"2012-01-10,二",716.45,
"2012-01-11,三",717.94,
"2012-01-12,四",709.89,
"2012-01-13,五",666.08,
"2012-01-16,一",633.91,
"2012-01-17,二",662.69,
"2012-01-18,三",624.91,
"2012-01-19,四",632.8,
"2012-01-20,五",646.38,
"2012-01-30,一",651.25,
"2012-01-31,二",648.68,
"2012-02-01,三",650.78,
"2012-02-02,四",665.4,
"2012-02-03,五",680.05,
"2012-02-06,一",686.51,
"2012-02-07,二",673.68,
"2012-02-08,三",692.3,
"2012-02-09,四",697.79,
"2012-02-10,五",698.85,
"2012-02-13,一",714.96,
"2012-02-14,二",712.3,
"2012-02-15,三",724.75,
"2012-02-16,四",721.83,
"2012-02-17,五",717.8,
"2012-02-20,一",721.1,
"2012-02-21,二",736.88,
"2012-02-22,三",759.56,
"2012-02-23,四",756.9,
"2012-02-24,五",762.29,
"2012-02-27,一",760.37,
"2012-02-28,二",747.77,
"2012-02-29,三",735.34,
"2012-03-01,四",743.15,
"2012-03-02,五",757.67,
"2012-03-05,一",759.37,
"2012-03-06,二",750.84,
"2012-03-07,三",749.27,
"2012-03-08,四",761.7,
"2012-03-09,五",777.69,
"2012-03-12,一",786.05,
"2012-03-13,二",792.38,
"2012-03-14,三",756.46,
"2012-03-15,四",746.44,
"2012-03-16,五",765.56,
"2012-03-19,一",779.56,
"2012-03-20,二",755.58,
"2012-03-21,三",751.79,
"2012-03-22,四",750.85,
"2012-03-23,五",737.89,
"2012-03-26,一",737.21,
"2012-03-27,二",735.73,
"2012-03-28,三",698.49,
"2012-03-29,四",683.96,
"2012-03-30,五",678.52,
"2012-04-05,四",697.75,
"2012-04-06,五",701.9,
"2012-04-09,一",689.72,
"2012-04-10,二",697.17,
"2012-04-11,三",698.49,
"2012-04-12,四",713.12,
"2012-04-13,五",718.96,
"2012-04-16,一",716.23,
"2012-04-17,二",709.14,
"2012-04-18,三",723.46,
"2012-04-19,四",725.12,
"2012-04-20,五",728.72,
"2012-04-23,一",690.43,
"2012-04-24,二",681.53,
"2012-04-25,三",682.52,
"2012-04-26,四",678.44,
"2012-04-27,五",685.13,
"2012-05-02,三",693.61,
"2012-05-03,四",699.31,
"2012-05-04,五",713.19,
"2012-05-07,一",733.05,
"2012-05-08,二",731.72,
"2012-05-09,三",719.35,
"2012-05-10,四",727.29,
"2012-05-11,五",721.08,
"2012-05-14,一",719.87,
"2012-05-15,二",720.12,
"2012-05-16,三",709.96,
"2012-05-17,四",716.17,
"2012-05-18,五",706.22,
"2012-05-21,一",704.8,
"2012-05-22,二",714.66,
"2012-05-23,三",713.02,
"2012-05-24,四",712.58,
"2012-05-25,五",702.72,
"2012-05-28,一",706.47,
"2012-05-29,二",720.45,
"2012-05-30,三",727.19,
"2012-05-31,四",734.45,
"2012-06-01,五",734.26,
"2012-06-04,一",717.1,
"2012-06-05,二",715.93,
"2012-06-06,三",715.24,
"2012-06-07,四",711.43,
"2012-06-08,五",713.92,
"2012-06-11,一",734.5,
"2012-06-12,二",735.29,
"2012-06-13,三",746.51,
"2012-06-14,四",740.97,
"2012-06-15,五",742.27,
"2012-06-18,一",752.98,
"2012-06-19,二",747.49,
"2012-06-20,三",748.39,
"2012-06-21,四",739.05,
"2012-06-25,一",720.6,
"2012-06-26,二",715.92,
"2012-06-27,三",718.93,
"2012-06-28,四",711.14,
"2012-06-29,五",726.68,
